epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,504.331,0.62946,0.34794,0.77654,0.99084,0.98431,0.98732,0.82763,0.77329,0.36462,0.7973,0.000344389,0.000344389,0.000344389
94,509.68,0.65661,0.35942,0.77284,0.98423,0.98952,0.98894,0.83203,0.76366,0.36244,0.79723,0.0003326,0.0003326,0.0003326
95,515.047,0.61682,0.34913,0.77473,0.98624,0.99087,0.98674,0.83137,0.7541,0.36078,0.79762,0.00032081,0.00032081,0.00032081
96,520.382,0.60731,0.33168,0.78035,0.98319,0.99087,0.98811,0.82992,0.75111,0.36349,0.79838,0.000309021,0.000309021,0.000309021
97,525.711,0.62713,0.33995,0.77618,0.98635,0.99033,0.98925,0.82792,0.77559,0.37034,0.79748,0.000297232,0.000297232,0.000297232
98,531.058,0.63065,0.36584,0.78336,0.9755,0.98996,0.98968,0.82802,0.77348,0.36201,0.79745,0.000285443,0.000285443,0.000285443
99,536.397,0.60403,0.33814,0.78052,0.97912,0.98992,0.99061,0.81899,0.79372,0.36138,0.79767,0.000273654,0.000273654,0.000273654
100,541.736,0.62539,0.3371,0.78381,0.98763,0.99087,0.99121,0.83788,0.75575,0.34997,0.79612,0.000261864,0.000261864,0.000261864
101,547.118,0.58424,0.32424,0.77871,0.98139,0.99087,0.99007,0.83287,0.74618,0.34186,0.79743,0.000250075,0.000250075,0.000250075
102,552.486,0.60366,0.32569,0.79287,0.98864,0.98495,0.9888,0.83905,0.73829,0.34805,0.7966,0.000238286,0.000238286,0.000238286
103,557.934,0.61348,0.34194,0.77604,0.99264,0.98285,0.98836,0.83549,0.74295,0.34279,0.79604,0.000226497,0.000226497,0.000226497
104,563.341,0.59665,0.31528,0.78095,0.99296,0.98327,0.98923,0.82956,0.7744,0.35209,0.79788,0.000214707,0.000214707,0.000214707
105,568.737,0.64322,0.33965,0.77404,0.99097,0.9854,0.98921,0.82753,0.76844,0.35141,0.79781,0.000202918,0.000202918,0.000202918
106,574.142,0.60778,0.32207,0.77549,0.98358,0.99012,0.98854,0.82922,0.76711,0.34434,0.79827,0.000191129,0.000191129,0.000191129
107,579.553,0.599,0.34122,0.78202,0.99189,0.98267,0.98846,0.8324,0.75787,0.35856,0.79845,0.00017934,0.00017934,0.00017934
108,584.99,0.60844,0.31934,0.77218,0.99213,0.97845,0.98823,0.82685,0.7798,0.36704,0.79694,0.00016755,0.00016755,0.00016755
109,590.388,0.59845,0.31665,0.77671,0.99231,0.9812,0.98826,0.83512,0.74965,0.35104,0.79625,0.000155761,0.000155761,0.000155761
110,595.812,0.59266,0.3233,0.77354,0.99303,0.98421,0.98876,0.8349,0.7627,0.34971,0.79748,0.000143972,0.000143972,0.000143972
111,601.63,0.64212,0.34956,0.77301,0.99086,0.97844,0.9886,0.83592,0.73633,0.33979,0.79862,0.000132183,0.000132183,0.000132183
112,607.032,0.66661,0.3568,0.77636,0.9878,0.9825,0.98974,0.84438,0.7335,0.34181,0.79774,0.000120393,0.000120393,0.000120393
113,612.447,0.60403,0.32838,0.78275,0.98452,0.98552,0.98954,0.83082,0.77016,0.35254,0.79802,0.000108604,0.000108604,0.000108604
114,617.825,0.6078,0.357,0.7715,0.99208,0.98073,0.98796,0.84793,0.71075,0.34067,0.79625,9.68148e-05,9.68148e-05,9.68148e-05
115,623.238,0.57918,0.32166,0.77852,0.99533,0.98314,0.98786,0.83973,0.71378,0.3394,0.79531,8.50255e-05,8.50255e-05,8.50255e-05
116,628.615,0.58602,0.31193,0.77581,0.99361,0.98291,0.98801,0.85016,0.70167,0.33615,0.79571,7.32362e-05,7.32362e-05,7.32362e-05
117,634.013,0.58801,0.35518,0.7842,0.99219,0.98174,0.988,0.85235,0.69494,0.33381,0.79509,6.1447e-05,6.1447e-05,6.1447e-05
118,639.43,0.56291,0.32364,0.77366,0.98997,0.9825,0.98908,0.85812,0.68128,0.32846,0.79477,4.96578e-05,4.96578e-05,4.96578e-05
119,644.843,0.56611,0.31632,0.77786,0.98999,0.98248,0.98824,0.85405,0.68154,0.33772,0.79445,3.78685e-05,3.78685e-05,3.78685e-05
120,650.221,0.57051,0.3204,0.77459,0.98963,0.98174,0.98947,0.85413,0.67701,0.3237,0.7944,2.60792e-05,2.60792e-05,2.60792e-05
